protein_id,genes,time,fraction,intensity
Q8BTM8,Flna,30min,1,1515177.0
Q8BTY2,Slc4a7,30min,1,562520.0
Q8BTY8,Scfd2,30min,1,170767.0
Q8BU14,Sec62,30min,1,16401305.0
Q8BU31,Rap2c,30min,1,209913.99999999977
Q8BUV8,Gpr107,30min,1,162130.99999999953
Q8BVE3,Atp6v1h,30min,1,1084267.0000000014
Q8BVI5,Stx16,30min,1,73015.40000000002
Q8BWH0,Slc38a7,30min,1,397704.0
Q8BXN9,Tmem87a,30min,1,520265.0
Q8BXQ2,Pigt,30min,1,10497829.999999996
Q8BXV2,Bri3bp,30min,1,1345830.0
Q8BZN6,Dock10,30min,1,295199.0000000001
Q8C079,Strip1,30min,1,1443001.9999999998
Q8C129,Lnpep,30min,1,3647800.0
Q8C172,Cers6,30min,1,5229580.0
Q8C1E7,Tmem120a,30min,1,296607.00000000023
Q8C3X2,Ccdc90b,30min,1,1139140.0
Q8C407,Yipf4,30min,1,5144441.999999998
Q8C522,Endod1,30min,1,863256.9999999998
Q8C6B0,Tmt1a,30min,1,1962491.0
Q8C6U2,Slc66a3,30min,1,123342.0
Q8C7X2,Emc1,30min,1,6011840.0
Q8CAQ8,Immt,30min,1,824584.9999999995
Q8CE08,Acp3,30min,1,1228214.0
Q8CG50,Rab43,30min,1,419165.0
Q8CG64,Fkrp,30min,1,1504116.9999999995
Q8CGP4,H2ac1,30min,1,3264619.9999999925
Q8CHG3,Gcc2,30min,1,285907.99999999814
Q8CHK3,Mboat7,30min,1,924750.9999999999
Q8CI59,Steap3,30min,1,916866.9999999998
Q8CIE6,Copa,30min,1,388573.0
Q8CIF6,Sidt2,30min,1,8935544.999999998
Q8HWB2,H2-Q4,30min,1,3503070.0
Q8JZQ2,Afg3l2,30min,1,66187.8999999999
Q8JZR0,Acsl5,30min,1,2511050.0
Q8JZU2,Slc25a1,30min,1,3869599.999999999
Q8K019,Bclaf1,30min,1,744838.0000000002
Q8K021,Scamp1,30min,1,73062.69999999925
Q8K0C4,Cyp51a1,30min,1,29529.599999998696
Q8K1T1,Lrrc25,30min,1,648624.0
Q8K297,Colgalt1,30min,1,113008.99999999988
Q8K2B3,Sdha,30min,1,314049.0
Q8K2C9,Hacd3,30min,1,641982.0
Q8K2Q9,Shtn1,30min,1,694203.0
Q8K358,Pigu,30min,1,1079375.0
Q8K3J1,Ndufs8,30min,1,242188.0
Q8QZY6,Tspan14,30min,1,522178.99999999977
Q8R010,Aimp2,30min,1,92154.69999999995
Q8R0X7,Sgpl1,30min,1,4952847.999999993
Q8R1V4,Tmed4,30min,1,5392400.0
Q8R2Y8,Ptrh2,30min,1,1438831.0
Q8R3I9,B3gnt8,30min,1,432836.0
Q8R420,Abca3,30min,1,430263.99999999977
Q8R502,Lrrc8c,30min,1,580296.0
Q8VBT0,Tmx1,30min,1,2555022.0
Q8VBZ3,Clptm1,30min,1,468585.0
Q8VCF1,Cant1,30min,1,1079179.9999999995
Q8VCH6,Dhcr24,30min,1,267966.99999999977
Q8VCM8,Ncln,30min,1,1885289.9999999963
Q8VCW4,Unc93b1,30min,1,844775.0000000019
Q8VD31,Tapbpl,30min,1,406809.0
Q8VD58,Evi2b,30min,1,984507.0
Q8VDD5,Myh9,30min,1,138919100.0
Q8VDI9,Alg9,30min,1,256446.0
Q8VDL4,Adpgk,30min,1,305530.0
Q8VDN2,Atp1a1,30min,1,11192024.999999996
Q8VDP3,Mical1,30min,1,163982.00000000012
Q8VDP6,Cdipt,30min,1,4836150.0
Q8VE99,Ccdc115,30min,1,571890.0
Q8VEH3,Arl8a,30min,1,674069.9999999991
Q8VEK3,Hnrnpu,30min,1,1667800.0
Q8VEM8,Slc25a3,30min,1,18148030.0
Q8VHE0,Sec63,30min,1,4597155.0
Q8VIJ6,Sfpq,30min,1,2172079.9999999995
Q91V01,Lpcat3,30min,1,414109.0
Q91V04,Tram1,30min,1,353479.0
Q91V61,Sfxn3,30min,1,6409700.0
Q91VA7,Idh3b,30min,1,199902.0
Q91VD9,Ndufs1,30min,1,859654.0
Q91VE0,Slc27a4,30min,1,3292717.999999998
Q91VR2,Atp5f1c,30min,1,8661385.00000003
Q91VS7,Mgst1,30min,1,4044690.0
Q91VU0,Fam3c,30min,1,3764629.999999998
Q91VW5,Golga4,30min,1,590830.9999999925
Q91VX9,Tmem168,30min,1,1379810.0000000005
Q91W53,Golga7,30min,1,337141.0
Q91WD5,Ndufs2,30min,1,1507232.9999999998
Q91WK2,Eif3h,30min,1,313872.99999999907
Q91XB0,Trex1,30min,1,1641144.0
Q91XD7,Creld1,30min,1,153143.00000000047
Q91XL3,Uxs1,30min,1,716962.9999999995
Q91XL9,Osbpl1a,30min,1,1469190.0
Q91XV3,Basp1,30min,1,6752464.5
Q91YH5,Atl3,30min,1,337665.0
Q91YQ5,Rpn1,30min,1,110523899.99999994
Q91YT8,Tmem63a,30min,1,2880429.9999999995
Q91Z92,B3galt6,30min,1,128932.99999999988
Q91ZE5,Adgre4,30min,1,1391287.999999999
