,protein_id,CCprofiler_count,SPADE_count,highest_count_group
583,P11627,1.0,1.1666666666666667,SPADE
584,P11672,0.0,1.0,SPADE
585,P11680,1.5,2.3333333333333335,SPADE
587,P11835,1.5,1.3333333333333333,CCprofiler
589,P11928,0.0,1.1666666666666667,SPADE
591,P11983,2.6666666666666665,1.1666666666666667,CCprofiler
592,P12023,1.0,2.5,SPADE
593,P12265,1.3333333333333333,1.0,CCprofiler
594,P12367,0.0,2.8333333333333335,SPADE
595,P12382,1.3333333333333333,1.8333333333333333,SPADE
596,P12388,1.3333333333333333,1.0,CCprofiler
597,P12787,1.0,2.2,SPADE
598,P12815,0.0,3.25,SPADE
599,P12970,1.3333333333333333,1.0,CCprofiler
600,P13020,1.75,2.6666666666666665,SPADE
601,P13439,1.0,3.0,SPADE
602,P13597,1.0,1.1666666666666667,SPADE
603,P13808,1.3333333333333333,1.5,SPADE
604,P13864,2.3333333333333335,1.8333333333333333,CCprofiler
605,P14069,0.0,2.75,SPADE
606,P14106,0.0,2.3333333333333335,SPADE
607,P14115,0.0,1.1666666666666667,SPADE
608,P14131,1.0,2.0,SPADE
609,P14148,1.2,1.0,CCprofiler
611,P14206,0.0,1.5,SPADE
612,P14211,1.6666666666666667,1.0,CCprofiler
613,P14234,1.0,2.5,SPADE
614,P14576,1.0,1.6666666666666667,SPADE
615,P14685,1.6666666666666667,2.1666666666666665,SPADE
616,P14733,2.5,2.0,CCprofiler
617,P14824,1.5,1.0,CCprofiler
618,P14869,1.0,1.8333333333333333,SPADE
619,P14901,1.1666666666666667,2.0,SPADE
620,P15105,1.5,1.3333333333333333,CCprofiler
621,P15208,1.0,1.1666666666666667,SPADE
622,P15307,1.0,1.3333333333333333,SPADE
623,P15379,1.0,1.6666666666666667,SPADE
625,P15535,0.0,1.1666666666666667,SPADE
627,P15702,0.0,1.0,SPADE
628,P15864,0.0,2.0,SPADE
631,P16056,1.0,2.0,SPADE
632,P16110,0.0,2.0,SPADE
633,P16125,1.6666666666666667,1.0,CCprofiler
634,P16254,0.0,2.1666666666666665,SPADE
635,P16330,1.0,2.0,SPADE
636,P16332,1.3333333333333333,2.3333333333333335,SPADE
638,P16546,2.5,1.1666666666666667,CCprofiler
639,P16627,0.0,3.0,SPADE
640,P16675,1.0,1.6666666666666667,SPADE
641,P16858,0.0,2.5,SPADE
642,P16879,2.8333333333333335,1.8333333333333333,CCprofiler
643,P17047,0.0,1.1666666666666667,SPADE
644,P17156,1.0,3.0,SPADE
645,P17182,1.6666666666666667,1.0,CCprofiler
646,P17426,2.3333333333333335,2.5,SPADE
647,P17427,3.5,1.6666666666666667,CCprofiler
648,P17439,1.0,2.0,SPADE
649,P17563,1.3333333333333333,1.0,CCprofiler
650,P17710,2.1666666666666665,1.0,CCprofiler
651,P17742,1.5,0.0,CCprofiler
652,P17809,0.0,1.1666666666666667,SPADE
653,P17879,1.0,2.0,SPADE
654,P17918,1.0,1.6666666666666667,SPADE
655,P18052,1.0,2.1666666666666665,SPADE
