peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
5825,Q9QXH4,Itgax,10min,7,223902122.22222215,16,1985702903.3333333,1.0,16.0,4504.477583536062,0.1875,13993882.638888884,2070660843.3333333
5826,Q9QXK3,Copg2,10min,7,90297066.66666666,16,662284556.6666664,1.0,16.0,1816.602310965914,0.1875,5643566.666666666,698203386.6666664
5827,Q9QXK3,Copg2,10min,36,9769181.11111111,9,35918829.99999999,31.0,39.0,196.53702648172774,-0.2222222222222222,1085464.5679012344,698203386.6666664
5828,Q9QXK7,Cpsf3,10min,8,24189715.555555552,17,182665455.55555552,1.0,17.0,486.6502844665719,0.11764705882352941,1422924.4444444443,185484671.11111107
5829,Q9QXL1,Kif21b,10min,8,650343.3333333333,7,2810080.666666666,5.0,11.0,13.08364984452735,0.0,92906.19047619046,7881617.0
5830,Q9QXL1,Kif21b,10min,14,881750.2222222221,9,4524344.555555555,11.0,19.0,17.73910881619924,0.2222222222222222,97972.24691358024,7881617.0
5831,Q9QXL1,Kif21b,10min,23,338310.0,7,1014930.0,20.0,26.0,6.806142774178841,0.0,48330.0,7881617.0
5832,Q9QXS1,Plec,10min,3,41625844.777777776,12,219140592.44444442,1.0,12.0,837.4314760230625,0.5833333333333334,3468820.398148148,1907576694.6666665
5833,Q9QXS1,Plec,10min,24,107281833.33333331,15,745210752.2222222,14.0,28.0,2158.302961018963,-0.4,7152122.222222221,1907576694.6666665
5834,Q9QXS1,Plec,10min,32,190991933.3333333,13,998337161.1111109,28.0,40.0,3842.3882444595597,0.3076923076923077,14691687.179487178,1907576694.6666665
5835,Q9QXT0,Cnpy2,10min,38,511791377.7777777,12,1721310725.5555553,29.0,40.0,10296.252513225312,-0.5833333333333334,42649281.48148147,1721450976.1111107
5836,Q9QXW9,Slc7a8,10min,9,13707767.777777776,18,111125109.93333332,1.0,18.0,275.77377142515377,0.05555555555555555,761542.6543209875,113219450.82222222
5837,Q9QXX4,Slc25a13,10min,5,7039200.555555554,14,56130697.77777777,1.0,14.0,141.61509856992143,0.35714285714285715,502800.0396825396,58856314.88888888
5838,Q9QXY9,Pex3,10min,5,3183836.666666666,14,19985511.111111104,1.0,14.0,64.0526349294995,0.35714285714285715,227416.9047619047,19985511.111111104
5839,Q9QXZ0,Macf1,10min,5,56750977.777777776,12,298381415.5555555,1.0,12.0,1141.7198939724105,0.25,4729248.148148148,298381415.5555555
5840,Q9QY06,Myo9b,10min,7,61069833.33333333,16,473072652.2222221,1.0,16.0,1228.6069133693145,0.1875,3816864.583333333,488547612.2222221
5841,Q9QY24,Zbp1,10min,37,24328442.22222222,9,90112548.88888888,32.0,40.0,489.4411966474689,-0.2222222222222222,2703160.24691358,90112548.88888888
5842,Q9QY36,Naa10,10min,29,91326877.77777776,15,552343772.2222221,22.0,36.0,1837.3201184580307,0.0,6088458.518518518,558987029.9999999
5843,Q9QY76,Vapb,10min,4,109642500.0,13,891940251.5555555,1.0,13.0,2205.7950078859735,0.46153846153846156,8434038.461538462,1586712758.2222226
5844,Q9QY76,Vapb,10min,27,16351823.333333332,7,91019345.0,24.0,30.0,328.9670545500152,0.0,2335974.7619047617,1586712758.2222226
5845,Q9QY76,Vapb,10min,36,98337911.1111111,11,469072698.88888884,30.0,40.0,1978.368547003429,-0.18181818181818182,8939810.1010101,1586712758.2222226
5846,Q9QY81,Nup210,10min,4,38754407.777777776,11,178068925.55555552,1.0,11.0,779.6637180819441,0.36363636363636365,3523127.97979798,178068925.55555552
5847,Q9QY93,Dctpp1,10min,29,42447855.55555555,14,210232160.0,21.0,34.0,853.9687427768367,-0.21428571428571427,3031989.6825396824,215732200.0
5848,Q9QYB1,Clic4,10min,37,320315883.3333333,8,1124603041.111111,33.0,40.0,6444.135954609321,-0.125,40039485.416666664,1124603041.111111
5849,Q9QYB5,Add3,10min,21,12458363.61111111,14,100032070.55555555,11.0,24.0,250.63817643538914,-0.5,889883.115079365,204116219.99999997
5850,Q9QYB5,Add3,10min,26,11141228.888888888,6,62934528.88888888,24.0,29.0,224.13997368562462,0.16666666666666666,1856871.4814814813,204116219.99999997
