peak_id,protein_id,genes,time,peak_apex,peak_height,peak_width,peak_area,peak_left,peak_right,snr,asymmetry,sharpness,peak_background_intensity
4708,Q9CQC8,Spg21,30min,38,11129131.111111108,13,62024999.44444443,28.0,40.0,276.18860602975286,-0.6153846153846154,856087.0085470083,236439502.0
4709,Q9CQC9,Sar1b,30min,6,29899890.0,14,225235455.0,1.0,14.0,742.0174007383481,0.21428571428571427,2135706.4285714286,268521107.0
4710,Q9CQC9,Sar1b,30min,38,2140061.333333333,9,7913995.999999998,32.0,40.0,53.10931739149018,-0.4444444444444444,237784.59259259255,268521107.0
4711,Q9CQD1,Rab5a,30min,6,40369620.0,15,308741870.0,1.0,15.0,1001.8418295583974,0.26666666666666666,2691308.0,374941655.5555555
4712,Q9CQD1,Rab5a,30min,38,8696375.555555554,6,26057277.777777772,35.0,40.0,215.815576096696,-0.16666666666666666,1449395.9259259256,374941655.5555555
4713,Q9CQE3,Mrps17,30min,3,5181607.777777777,6,21527259.999999996,1.0,6.0,128.59054447732998,0.16666666666666666,863601.2962962962,36102195.99999999
4714,Q9CQE3,Mrps17,30min,7,4558442.222222222,8,18585018.222222224,6.0,13.0,113.12561514939594,0.625,569805.2777777778,36102195.99999999
4715,Q9CQE5,Rgs10,30min,38,130259300.0,8,441484833.3333333,33.0,40.0,3232.609458027996,-0.375,16282412.5,441484833.3333333
4716,Q9CQE7,Ergic3,30min,7,46400922.22222222,11,253976631.11111104,6.0,16.0,1151.5190089059051,0.7272727272727273,4218265.656565656,400531177.5555555
4717,Q9CQE8,RTRAF,30min,3,27791785.888888884,12,198715460.7222222,1.0,12.0,689.7011569992408,0.5833333333333334,2315982.157407407,503686245.111111
4718,Q9CQE8,RTRAF,30min,26,28345482.83333333,13,211987627.88888887,18.0,30.0,703.4421027857782,-0.3076923076923077,2180421.756410256,503686245.111111
4719,Q9CQF3,Nudt21,30min,25,122320361.1111111,13,812392632.2222222,15.0,27.0,3035.59098073748,-0.6153846153846154,9409258.547008546,1512375858.888889
4720,Q9CQF9,Pcyox1,30min,8,55984849.99999999,17,494135165.55555546,1.0,17.0,1389.3607260002061,0.11764705882352941,3293226.4705882347,825065836.1111109
4721,Q9CQF9,Pcyox1,30min,30,23317443.33333333,14,180527337.77777773,26.0,39.0,578.6626202993964,0.35714285714285715,1665531.6666666663,825065836.1111109
4722,Q9CQG2,Mettl16,30min,9,3780383.7777777775,13,24872064.555555552,1.0,13.0,93.8167513184859,-0.3076923076923077,290798.7521367521,46401080.55555555
4723,Q9CQG2,Mettl16,30min,15,2214252.1111111105,10,18430758.11111111,13.0,22.0,54.950489652840396,0.5,221425.21111111104,46401080.55555555
4724,Q9CQH7,Btf3l4,30min,30,90471737.2222222,15,533904036.66666657,25.0,39.0,2245.212383521015,0.26666666666666666,6031449.148148146,536171856.66666657
4725,Q9CQI3,Gmfb,30min,38,209716166.66666663,7,650024122.2222221,34.0,40.0,5204.468808507662,-0.2857142857142857,29959452.380952377,650589632.2222221
4726,Q9CQI6,Cotl1,30min,39,2185619155.555556,8,7056546528.888889,33.0,40.0,54239.91341805193,-0.625,273202394.4444445,7058040558.888889
4727,Q9CQJ2,Pih1d1,30min,11,2537687.777777777,8,8766129.999999998,7.0,14.0,62.977104221859705,-0.125,317210.97222222213,90931379.99999999
4728,Q9CQJ2,Pih1d1,30min,24,9480384.444444444,17,82165249.99999999,14.0,30.0,235.27211048157483,-0.23529411764705882,557669.6732026143,90931379.99999999
4729,Q9CQJ6,Denr,30min,36,59507198.33333333,15,254701834.77777773,26.0,40.0,1476.7738821955986,-0.4,3967146.555555555,257703760.55555552
4730,Q9CQK7,Rwdd1,30min,29,56542709.44444443,20,319472345.38888884,19.0,38.0,1403.204971411945,-0.05,2827135.4722222215,334205411.49999994
4731,Q9CQL0,Mettl21A,30min,29,14919027.777777776,15,74121389.99999999,20.0,34.0,370.24143611263713,-0.26666666666666666,994601.8518518518,77743407.11111107
4732,Q9CQL0,Mettl21A,30min,38,965223.3333333333,7,3393074.444444444,34.0,40.0,23.9536837403751,-0.2857142857142857,137889.0476190476,77743407.11111107
4733,Q9CQL4,Mrpl20,30min,7,13706117.777777776,14,74418650.44444443,1.0,14.0,340.1409800397369,0.07142857142857142,979008.4126984125,74418650.44444443
4734,Q9CQL5,Mrpl18,30min,7,42089645.55555555,14,258866679.33333328,1.0,14.0,1044.5272338169705,0.07142857142857142,3006403.2539682537,258866679.33333328
4735,Q9CQL7,Mrfap1,30min,35,9064008.888888888,12,40100005.55555555,29.0,40.0,224.93903208348308,-0.08333333333333333,755334.074074074,40100005.55555555
4736,Q9CQM5,Txndc17,30min,38,528414157.7777777,10,1630258337.7777777,31.0,40.0,13113.509777715233,-0.5,52841415.77777777,1630258337.7777777
4737,Q9CQM9,Glrx3,30min,34,102262198.88888888,14,479941501.66666657,26.0,39.0,2537.813049256078,-0.21428571428571427,7304442.777777777,482846654.99999994
4738,Q9CQN1,Trap1,30min,8,94742077.77777776,14,844788345.0,1.0,14.0,2351.188258325267,-0.07142857142857142,6767291.269841269,2091217484.4444442
4739,Q9CQN1,Trap1,30min,31,149093291.66666663,20,1043344926.6666664,21.0,40.0,3700.007483305938,-0.05,7454664.583333331,2091217484.4444442
4740,Q9CQN7,Mrpl41,30min,7,11031591.11111111,13,59030142.22222222,1.0,13.0,273.7679825001005,0.0,848583.9316239315,59030142.22222222
